IdArbitro;Referee
0;ABD EL FATAH Essam (EGY)
1;ADAIR John (NIR)
2;AGNOLIN Luigi (ITA)
3;AGUILAR ELIZALDE Abel (MEX)
4;AGUILAR Joel (SLV)
5;AHLNER Sten (SWE)
6;AL DOY Ebrahim (BHR)
7;AL GHAMDI Khalil (KSA)
8;AL SHANAR Fallaj Khuzam (KSA)
9;AL SHARIF Jamal (SYR)
10;ALZEID Abdulrahman (KSA)
11;AMARILLA Carlos (PAR)
12;ANGELES Arturo (USA)
13;ANGONESE Aurelio (ITA)
14;ANPRASERT Pirom (THA)
15;AQUINO Ubaldo (PAR)
16;ARCHUNDIA Benito (MEX)
17;ARISTIZABAL MURCIA Gilberto (COL)
18;ARPPI FILHO Romualdo (BRA)
19;ASENSI Manuel (ESP)
20;ASHKENAZI Menachem (ISR)
21;ASTON Ken (ENG)
22;AZON ROMA Ramon (ESP)
23;Alberto UNDIANO MALLENCO (ESP)
24;BABACAN Dogan (TUR)
25;BADILLA Rodrigo (CRC)
26;BAERT Louis (BEL)
27;BAHARMAST Esse (USA)
28;BAKHRAMOV Tofik (URS)
29;BALDAS Fabio (ITA)
30;BALDASSI Hector (ARG)
31;BALWAY Thomas (FRA)
32;BAMBRIDGE Christopher (AUS)
33;BARLASSINA Rinaldo (ITA)
34;BARRANCOS Luis (BOL)
35;BARRETO RUIZ Ramon (URU)
36;BATRES Carlos (GUA)
37;BATTA Marc (FRA)
38;BELQOLA Said (MAR)
39;BENKO Gunter (AUT)
40;BENNACEUR Ali (TUN)
41;BERANEK Alois (AUT)
42;BIRLEM Alfred (GER)
43;BIWERSI Ferdinand (GER)
44;BLAVIER Arthur (BEL)
45;BOSKOVIC Tony (AUS)
46;BOUCHARDEAU Lucien (NIG)
47;BOUZO Farouk (SYR)
48;BRAUN Eugen (AUT)
49;BRIZIO CARTER Arturo (MEX)
50;BRONKHORST Jan (NED)
51;BROZZI Juan (ARG)
52;BRUMMEIER Horst (AUT)
53;BRYCH Felix (GER)
54;BUJSAIM Ali (UAE)
55;BUSACCA Massimo (SUI)
56;BUSTAMANTE Sergio (CHI)
57;BUTENKO Valeri (RUS)
58;Bakary GASSAMA (GAM)
59;Ben WILLIAMS (AUS)
60;Bj�rn KUIPERS (NED)
61;CALLAGHAN Leo (WAL)
62;CAPDEVILLE Georges (FRA)
63;CARDELLINO DE SAN VICENTE Juan (URU)
64;CARRARO Albino (ITA)
65;CASARIN Paolo (ITA)
66;CASTRILLI Javier (ARG)
67;CASTRO Gaston (CHI)
68;CHAN Thomson Tam Sun (HKG)
69;CHRISTOV Vojtech (TCH)
70;CODESAL Jose Maria (URU)
71;CODESAL MENDEZ Edgardo (MEX)
72;CODJIA Coffi (BEN)
73;COELHO Arnaldo (BRA)
74;COEREZZA Norberto Angel (ARG)
75;COLLINA Pierluigi (ITA)
76;CONRIE Roger (FRA)
77;CORVER Charles (NED)
78;COURTNEY George (ENG)
79;CRISTOPHE Henry (BEL)
80;Carlos VELASCO CARBALLO (ESP)
81;C�neyt �AKIR (TUR)
82;DA COSTA VIEIRA Jose (POR)
83;DAAMI Mourad (TUN)
84;DAGNALL Kenneth (ENG)
85;DAINA Andre (SUI)
86;DALLAS Hugh (SCO)
87;DAMON Jerome (RSA)
88;DATTILO Generoso (ITA)
89;DAVIDSON Bob (SCO)
90;DE BLEECKERE Frank (BEL)
91;DE LEO Diego (MEX)
92;DE MORAES Ayrton Vieira (BRA)
93;DELGADO Omar (COL)
94;DIAZ PALACIO Jesus (COL)
95;DIAZ VEGA Manuel (ESP)
96;DIENST Gottfried (SUI)
97;DON Philip (ENG)
98;DOROGI Andor (HUN)
99;DOTCHEV Bogdan (BUL)
100;DUBACH Jean (SUI)
101;DURKIN Paul (ENG)
102;DUSCH Albert (GER)
103;DWOMOH Benjamin (GHA)
104;EKLIND Ivan (SWE)
105;EL GHANDOUR Gamal (EGY)
106;EL GHOUL Yusef Mohamed (LBY)
107;ELIZONDO Horacio (ARG)
108;ELLIS Arthur (ENG)
109;ERIKSSON Arne (FIN)
110;ERIKSSON Jonas (SWE)
111;ERIKSSON Ulf (SWE)
112;ESCHWEILER Walter (GER)
113;ESPOSITO Carlos (ARG)
114;ETZEL FILHO Joao (BRA)
115;FAULTLESS Charlie (SCO)
116;FERNANDES CAMPOS Joaquim (POR)
117;FILIPPI Ernesto (URU)
118;FINNEY Jim (ENG)
119;FRANKEN Laurent (BEL)
120;FREDRIKSSON Erik (SWE)
121;FRISK Anders (SWE)
122;GALBA Karol (TCH)
123;GALEATI Giovanni (ITA)
124;GALLER Bruno (SUI)
125;GARCIA ARANDA Jose Maria (ESP)
126;GARDEAZABAL Juan (ESP)
127;GARDELLI Mario (BRA)
128;GARRIDO Antonio (POR)
129;GEIGER Mark (USA)
130;GLOECKNER Rudolf (GDR)
131;GOICOECHEA Roberto (ARG)
132;GONELLA Sergio (ITA)
133;GONZALEZ ARCHUNDIA Alfonso (MEX)
134;GONZALEZ CHAVEZ Epifanio (PAR)
135;GONZALEZ ROA Gabriel (PAR)
136;GORDON John (SCO)
137;GRIFFITHS Benjamin (WAL)
138;GUEZZAZ Mohammed (MAR)
139;GUIGUE Maurice (FRA)
140;HAIMOUDI Djamel (ALG)
141;HALL Brian (USA)
142;HAUGE Terje (NOR)
143;HESTER Michael (NZL)
144;HEYNEMANN Bernd (GER)
145;HORMAZABAL DIAZ Rafael (CHI)
146;HORN Leo (NED)
147;IGNA Ioan (ROU)
148;ITHURRALDE Arturo Andres (ARG)
149;IVANOV Valentin (RUS)
150;JACOME GUERRERO Elias V. (ECU)
151;JARGUZ Alojzy (POL)
152;JONNI Cesare (ITA)
153;JORGENSEN Carl Frederik (DEN)
154;JOUINI Neji (TUN)
155;JUN Lu (CHN)
156;KAMEL Mahmoud (EGY)
157;KAMIKAWA Toru (JPN)
158;KANDIL Aly Hussein (EGY)
159;KARLSSON Bo (SWE)
160;KASSAI Viktor (HUN)
161;KAZAKOV Pavel (URS)
162;KEIZER Jan (NED)
163;KIM Young Joo (KOR)
164;KIRSCHEN Siegfried (GER)
165;KLEIN Abraham (ISR)
166;KOHL Helmut (AUT)
167;KREITLEIN Rudolf (GER)
168;KRIST Gustav (TCH)
169;KRUG Hellmut (GER)
170;Koman COULIBALY (MLI)
171;LABO REVOREDO Enrique (PER)
172;LACARNE Belaid (ALG)
173;LAMO CASTILLO Augusto (ESP)
174;LAMOLINA Francisco Oscar (ARG)
175;LANDAUER Henry (USA)
176;LANESE Tullio (ITA)
177;LANGENUS Jean (BEL)
178;LARRIONDA Jorge (URU)
179;LATYCHEV Nikolaj (URS)
180;LEAFE Reginald (ENG)
181;LECLERCQ Lucien (FRA)
182;LEMESIC Leo (YUG)
183;LENNIE Edward (AUS)
184;LEVNIKOV Nikolai (RUS)
185;LIM KEE CHONG An Yan (MRI)
186;LINEMAYR Erich (AUT)
187;LING William (ENG)
188;LLOBREGAT Vicente (VEN)
189;LO BELLO Concetto (ITA)
190;LOEOEW Bertil (SWE)
191;LOMBARDI Domingo (URU)
192;LOPEZ NIETO Antonio (ESP)
193;LORAUX Vital (BEL)
194;LOUSTAU Juan (ARG)
195;LU Jun (CHN)
196;LUND-SORENSEN Henning (DEN)
197;LUTZ Jean (SUI)
198;MACHIN Roger (FRA)
199;MACIAS Jose (ARG)
200;MACIEL Carlos (PAR)
201;MACKO Martin (TCH)
202;MAIDIN Shamsul (SIN)
203;MAILLET Eddy (SEY)
204;MAKSIMOVIC Dusan (SCG)
205;MALCHER Alberto (BRA)
206;MANE Saad (KUW)
207;MARINO Esteban (URU)
208;MARQUES Armando (BRA)
209;MARQUEZ RAMIREZ Antonio (MEX)
210;MARSCHALL Ferdinand (AUT)
211;MARSIGLIA Renato (BRA)
212;MARTINEZ Angel (ESP)
213;MARTINEZ BAZAN Jose Luis (URU)
214;MATEUCCI Francisco (URU)
215;MATOVINOVIC Damir (CRO)
216;MATTEA Francesco (ITA)
217;MATTUS William (CRC)
218;MAURO Vincent (USA)
219;MAZIC Milorad (SRB)
220;MEDINA CANTALEJO Luis (ESP)
221;MEIER Urs (SUI)
222;MELO PEREIRA Vitor (POR)
223;MENDEZ MOLINA Romulo (GUA)
224;MERCET Rene (SUI)
225;MERK Markus (GER)
226;MICHEL Lubos (SVK)
227;MIKKELSEN Peter (DEN)
228;MITCHELL Robert (SCO)
229;MOFFATT Malcolm (NIR)
230;MORENO Byron (ECU)
231;MOTTRAM Leslie (SCO)
232;MOWAT Jack (SCO)
233;McCABE George (ENG)
234;McLEOD Ian (RSA)
235;NAMDAR Jafar (IRN)
236;NDIAYE Youssou (SEN)
237;NDOYE Falla (SEN)
238;NEMETH Lajos (HUN)
239;NIELSEN Kim Milton (DEN)
240;NISHIMURA Yuichi (JPN)
241;Nicola RIZZOLI (ITA)
242;Noumandiez DOUE (CIV)
243;OKADA Masayoshi (JPN)
244;ORLANDINI Vincenzo (ITA)
245;OROZCO GUERRERO Cesar (PER)
246;ORTIZ DE MENDIBIL Jose Maria (ESP)
247;ORTIZ Hector (PAR)
248;ORTUBE Rene (BOL)
249;OSSES Enrique (CHI)
250;Oleg�rio BENQUEREN�A (POR)
251;PAIRETTO Pierluigi (ITA)
252;PALOTAI Karoly (HUN)
253;PARTRIDGE Pat (ENG)
254;PEDERSEN Rune (NOR)
255;PEREZ NUNEZ Edison A. (PER)
256;PESTARINO Luis (ARG)
257;PETROVIC Zoran (SRB)
258;PHILLIPS Hugh (SCO)
259;PICON-ACKONG Edwin (MRI)
260;PITANA Nestor (ARG)
261;POLL Graham (ENG)
262;PONNET Alexis (BEL)
263;POULAT Eric (FRA)
264;POZO Pablo (CHI)
265;PRENDERGAST Peter (JAM)
266;PROENCA Pedro (POR)
267;PROKOP Adolf (GDR)
268;PUHL Sandor (HUN)
269;Peter O'LEARY (NZL)
270;QUINIOU Joel (FRA)
271;RADULESCU Andrei (ROU)
272;RAINEA Nicolae (ROU)
273;RAMDHAN Ramesh (TRI)
274;RAMIZ WRIGHT Jose (BRA)
275;RAMOS RIZO Felipe (MEX)
276;READER George (ENG)
277;REGO Gilberto (BRA)
278;REZENDE Marcio (BRA)
279;RICCI Sandro (BRA)
280;RION Francis (BEL)
281;ROBLES Carlos (CHI)
282;RODRIGUEZ Marco (MEX)
283;ROETHLISBERGER Kurt (SUI)
284;ROLDAN Wilmar (COL)
285;ROSETTI Roberto (ITA)
286;ROTH Volker (GER)
287;RUBIO VAZQUEZ Mario (MEX)
288;RUIZ Oscar (COL)
289;RUMENTCHEV Dimitar (BUL)
290;Ravshan IRMATOV (UZB)
291;SALDANHA RIBEIRO Antonio (POR)
292;SANCHEZ ARMINIO Victoriano (ESP)
293;SANCHEZ Angel (ARG)
294;SANCHEZ IBANEZ Pablo (ESP)
295;SANCHEZ YANTEN Mario (CHI)
296;SAUCEDO Ulises (BOL)
297;SBARDELLA Antonio (ITA)
298;SCARPI Giuseppe (ITA)
299;SCHEURER Ruedi (SUI)
300;SCHMETZER Emil (FRG)
301;SCHMIDHUBER Aron (GER)
302;SCHULENBURG Gerhard (GER)
303;SCHWINTE Pierre (FRA)
304;SEIPELT Fritz (AUT)
305;SHIELD Mark (AUS)
306;SHUKRALLA Nawaf (BHR)
307;SILES Jesus Paulino (CRC)
308;SILVA ARCE Hernan (CHI)
309;SILVA VALENTE Carlos Alberto (POR)
310;SILVAGNO CAVANNA Juan (CHI)
311;SIMON Carlos (BRA)
312;SMITH George (SCO)
313;SNODDY Alan (NIR)
314;SOCHA David (USA)
315;SORIANO ALADREN Emilio (ESP)
316;SPIRIN Alexey (RUS)
317;STEFANOVIC Vasa (YUG)
318;STEINER Carl (AUT)
319;STUPAR Miroslav (URS)
320;SUPPIAH George (SIN)
321;St�phane LANNOY (FRA)
322;TAKADA Shizuo (JPN)
323;TAREKEGN Seyoum (ETH)
324;TAYLOR John (ENG)
325;TEJADA Anibal (URU)
326;TEJADA NORIEGA Alberto (PER)
327;TESANIC Branko (YUG)
328;THOMAS Clive (WAL)
329;TORO RENDON John (COL)
330;TORRES CADENA Jose Joaquin (COL)
331;TRAORE Idrissa (MLI)
332;TSCHENSCHER Kurt (GER)
333;ULLOA MORERA Berny (CRC)
334;VAGNER Laszlo (HUN)
335;VALENTINE Robert (SCO)
336;VALLARINO Ricardo (URU)
337;VAN DER ENDE Mario (NED)
338;VAN DER MEER Karel (NED)
339;VAN GEMERT Arie (NED)
340;VAN LANGENHOVE Marcel (BEL)
341;VAN MOORSEL Johannes (NED)
342;VAN NUFFEL Lucien (BEL)
343;VAN RAVENS Laurens (NED)
344;VASSARAS Kyros (GRE)
345;VAUTROT Michel (FRA)
346;VEISSIERE Gilles (FRA)
347;VERA Carlos (ECU)
348;VIANA Mario (BRA)
349;VINCENTI Raymond (FRA)
350;VON HERTZKA Pal (HUN)
351;WARNKEN Alberto (CHI)
352;WEBB Howard (ENG)
353;WEGEREEF Jan (NED)
354;WEYLAND Hans Joachim (FRG)
355;WHITE Clive (ENG)
356;WINSEMANN Werner (CAN)
357;WOEHRER Franz (AUT)
358;WOJCIK Ryszard (POL)
359;WUETHRICH Hans (SUI)
360;WURTZ Robert (FRA)
361;WYSSLING Paul (SUI)
362;Wolfgang STARK (GER)
363;YAMASAKI MALDONADO Arturo (MEX)
364;ZECEVIC Konstantin (YUG)
365;ZSOLT Istvan (HUN)
366;
